players_id,games_id,id,competitions_id,clubs_id,goals,assists,minutes_played,yellow_cards,red_cards
207715,3614621,3614621_207715,IT1,1025,0,0,63,0,0
181136,3614621,3614621_181136,IT1,6195,0,0,25,0,0
165895,3614621,3614621_165895,IT1,6195,0,0,24,0,0
401923,3614621,3614621_401923,IT1,6195,0,1,90,0,0
401923,3614739,3614739_401923,IT1,6195,0,0,19,0,0
133964,3614621,3614621_133964,IT1,6195,2,0,65,0,0
181136,3614739,3614739_181136,IT1,6195,0,0,80,1,0
165895,3614739,3614739_165895,IT1,6195,0,0,19,0,0
350219,3614621,3614621_350219,IT1,6195,1,0,90,0,0
82070,3614621,3614621_82070,IT1,6195,0,0,15,0,0
350219,3614739,3614739_350219,IT1,6195,0,1,86,0,0
82070,3614739,3614739_82070,IT1,6195,0,0,10,0,0
354361,3614621,3614621_354361,IT1,6195,0,0,75,1,0
192735,3614739,3614739_192735,IT1,6195,0,0,90,0,0
316889,3614621,3614621_316889,IT1,6195,0,0,66,0,0
316889,3614739,3614739_316889,IT1,6195,2,0,71,0,0
87884,3614621,3614621_87884,IT1,6195,0,0,87,0,0
87884,3614739,3614739_87884,IT1,6195,0,0,90,0,0
169880,3614621,3614621_169880,IT1,6195,0,0,90,0,0
169880,3614739,3614739_169880,IT1,6195,0,0,90,0,0
121985,3614739,3614739_121985,IT1,6195,0,0,90,0,0
126656,3614621,3614621_126656,IT1,6195,0,0,3,0,0
126656,3614739,3614739_126656,IT1,6195,0,0,4,0,0
93128,3614621,3614621_93128,IT1,6195,0,0,90,0,0
73396,3614621,3614621_73396,IT1,6195,0,0,90,0,0
400489,3614621,3614621_400489,IT1,6195,0,1,75,0,0
400489,3614739,3614739_400489,IT1,6195,0,1,86,0,0
240414,3614739,3614739_240414,IT1,6195,0,0,90,0,0
199258,3614739,3614739_199258,IT1,6195,0,0,4,0,0
394346,3614621,3614621_394346,IT1,1025,0,0,75,0,0
119115,3614739,3614739_119115,IT1,1025,0,0,38,0,0
394346,3614739,3614739_394346,IT1,1025,0,0,23,0,0
41384,3614739,3614739_41384,IT1,1025,0,0,52,0,0
368482,3614621,3614621_368482,IT1,1025,0,0,90,0,0
82048,3614621,3614621_82048,IT1,1025,0,0,15,0,0
82048,3614739,3614739_82048,IT1,1025,0,0,52,0,0
85393,3614739,3614739_85393,IT1,1025,0,0,52,0,0
63186,3614739,3614739_63186,IT1,1025,0,0,67,0,0
33571,3614621,3614621_33571,IT1,1025,0,0,90,0,0
33571,3614739,3614739_33571,IT1,1025,0,0,90,0,0
486624,3614621,3614621_486624,IT1,1025,0,0,81,0,0
126673,3614739,3614739_126673,IT1,1025,0,0,90,1,0
257732,3614621,3614621_257732,IT1,6195,0,0,90,0,0
257732,3614739,3614739_257732,IT1,6195,0,0,90,0,0
60889,3614621,3614621_60889,IT1,1025,0,0,90,1,0
591949,3614621,3614621_591949,IT1,1025,0,0,81,0,0
591949,3614739,3614739_591949,IT1,1025,0,0,72,0,0
471004,3614621,3614621_471004,IT1,1025,0,0,14,0,0
471004,3614739,3614739_471004,IT1,1025,0,0,90,1,0
324690,3651098,3651098_324690,CL,1082,1,0,90,1,0
80894,3614621,3614621_80894,IT1,1025,0,0,90,0,0
80894,3614739,3614739_80894,IT1,1025,0,0,90,0,0
368891,3614621,3614621_368891,IT1,1025,0,0,90,0,0
368891,3614739,3614739_368891,IT1,1025,0,0,90,1,0
342405,3614621,3614621_342405,IT1,1025,0,0,90,0,0
342405,3614739,3614739_342405,IT1,1025,0,0,90,0,0
187245,3614621,3614621_187245,IT1,1025,0,0,9,0,0
497291,3614621,3614621_497291,IT1,1025,0,0,76,0,0
497291,3614739,3614739_497291,IT1,1025,0,0,38,0,0
119228,3614708,3614708_119228,IT1,800,0,1,56,0,0
655626,3661864,3661864_655626,GR1,2671,0,0,45,0,0
496767,3661864,3661864_496767,GR1,2671,0,0,90,0,0
